"median page visit time","next check-in","status","date"
240,300,3,"2015-09-04"
20,30,3,"2015-09-03"
90,120,3,"2015-09-09"
420,420,0,"2015-09-09"
10,20,3,"2015-09-09"
140,150,3,"2015-09-09"
420,420,0,"2015-09-09"
195,210,3,"2015-09-09"
50,60,3,"2015-09-09"
0,10,3,"2015-09-09"
10,20,3,"2015-09-09"
120,150,3,"2015-09-09"
50,60,3,"2015-09-09"
30,40,3,"2015-09-09"
40,50,3,"2015-09-09"
90,120,3,"2015-09-09"
420,420,0,"2015-09-09"
420,420,0,"2015-09-09"
50,60,3,"2015-09-09"
30,40,3,"2015-09-09"
420,420,0,"2015-09-09"
47.5,50,3,"2015-09-09"
300,360,3,"2015-09-09"
40,50,3,"2015-09-09"
120,150,3,"2015-09-09"
30,40,3,"2015-09-09"
420,420,0,"2015-09-09"
0,10,3,"2015-09-09"
40,50,3,"2015-09-09"
40,50,3,"2015-09-09"
30,40,3,"2015-09-09"
95,120,3,"2015-09-09"
50,60,3,"2015-09-09"
195,210,3,"2015-09-09"
230,240,3,"2015-09-09"
5,10,3,"2015-09-09"
10,20,3,"2015-09-09"
420,420,0,"2015-09-09"
215,240,3,"2015-09-09"
120,150,3,"2015-09-09"
210,240,3,"2015-09-09"
210,240,3,"2015-09-09"
20,30,3,"2015-09-09"
45,50,3,"2015-09-09"
30,40,3,"2015-09-09"
200,210,3,"2015-09-09"
50,60,3,"2015-09-09"
80,90,3,"2015-09-09"
240,300,3,"2015-09-09"
25,30,3,"2015-09-09"
420,420,0,"2015-09-09"
120,150,3,"2015-09-09"
420,420,0,"2015-09-09"
40,50,3,"2015-09-09"
55,60,3,"2015-09-09"
10,20,3,"2015-09-09"
10,20,3,"2015-09-08"
40,50,3,"2015-09-08"
210,240,3,"2015-09-11"
0,10,3,"2015-09-11"
180,210,3,"2015-09-11"
30,40,3,"2015-09-08"
180,210,3,"2015-09-11"
0,10,3,"2015-09-11"
20,30,3,"2015-09-08"
300,360,3,"2015-09-08"
90,120,3,"2015-09-08"
10,20,3,"2015-09-08"
420,420,0,"2015-09-09"
20,30,3,"2015-09-10"
0,10,3,"2015-09-10"
20,30,3,"2015-09-10"
30,40,3,"2015-09-04"
60,90,3,"2015-09-04"
420,420,0,"2015-09-04"
210,240,3,"2015-09-04"
0,10,3,"2015-09-04"
210,240,3,"2015-09-03"
420,420,0,"2015-09-04"
10,20,3,"2015-09-03"
90,120,3,"2015-09-04"
420,420,0,"2015-09-03"
420,420,0,"2015-09-04"
10,20,3,"2015-09-03"
10,20,3,"2015-09-04"
120,150,3,"2015-09-04"
150,180,3,"2015-09-04"
240,300,3,"2015-09-04"
95,120,3,"2015-09-04"
90,120,3,"2015-09-03"
420,420,0,"2015-09-04"
210,240,3,"2015-09-03"
30,40,3,"2015-09-04"
105,120,3,"2015-09-03"
10,20,3,"2015-09-04"
15,20,3,"2015-09-03"
150,180,3,"2015-09-04"
90,120,3,"2015-09-04"
300,360,3,"2015-09-03"
65,90,3,"2015-09-04"
90,120,3,"2015-09-03"
50,60,3,"2015-09-03"
20,30,3,"2015-09-04"
420,420,0,"2015-09-03"
10,20,3,"2015-09-03"
45,50,3,"2015-09-04"
30,40,3,"2015-09-02"
60,90,3,"2015-09-03"
240,300,3,"2015-09-03"
85,90,3,"2015-09-04"
360,420,3,"2015-09-09"
420,420,0,"2015-09-09"
420,420,0,"2015-09-09"
420,420,0,"2015-09-09"
40,50,3,"2015-09-09"
420,420,0,"2015-09-09"
55,60,3,"2015-09-09"
420,420,0,"2015-09-09"
180,210,3,"2015-09-09"
225,240,3,"2015-09-09"
420,420,0,"2015-09-09"
62.5,90,3,"2015-09-09"
135,150,3,"2015-09-09"
90,120,3,"2015-09-09"
420,420,0,"2015-09-10"
150,180,3,"2015-09-10"
210,240,3,"2015-09-10"
40,50,3,"2015-09-10"
60,90,3,"2015-09-10"
90,120,3,"2015-09-10"
40,50,3,"2015-09-10"
30,40,3,"2015-09-09"
105,120,3,"2015-09-10"
60,90,3,"2015-09-10"
120,150,3,"2015-09-10"
35,40,3,"2015-09-10"
50,60,3,"2015-09-10"
30,40,3,"2015-09-10"
135,150,3,"2015-09-09"
15,20,3,"2015-09-10"
95,120,3,"2015-09-09"
115,120,3,"2015-09-10"
210,240,3,"2015-09-10"
240,300,3,"2015-09-09"
60,90,3,"2015-09-10"
60,90,3,"2015-09-10"
47.5,50,3,"2015-09-10"
180,210,3,"2015-09-10"
120,150,3,"2015-09-10"
60,90,3,"2015-09-10"
60,90,3,"2015-09-10"
15,20,3,"2015-09-10"
420,420,0,"2015-09-06"
30,40,3,"2015-09-06"
60,90,3,"2015-09-08"
420,420,0,"2015-09-05"
10,20,3,"2015-09-06"
20,30,3,"2015-09-08"
60,90,3,"2015-09-07"
90,120,3,"2015-09-08"
420,420,0,"2015-09-07"
20,30,3,"2015-09-07"
180,210,3,"2015-09-06"
15,20,3,"2015-09-05"
30,40,3,"2015-09-05"
10,20,3,"2015-09-05"
40,50,3,"2015-09-04"
270,300,3,"2015-09-05"
10,20,3,"2015-09-06"
420,420,0,"2015-09-07"
10,20,3,"2015-09-08"
30,40,3,"2015-09-06"
35,40,3,"2015-09-05"
420,420,0,"2015-09-08"
20,30,3,"2015-09-08"
0,10,3,"2015-09-07"
420,420,0,"2015-09-05"
10,20,3,"2015-09-04"
10,20,3,"2015-09-08"
360,420,3,"2015-09-06"
420,420,0,"2015-09-05"
420,420,0,"2015-09-04"
10,20,3,"2015-09-07"
150,180,3,"2015-09-06"
60,90,3,"2015-09-08"
70,90,3,"2015-09-06"
20,30,3,"2015-09-08"
80,90,3,"2015-09-04"
10,20,3,"2015-09-05"
90,120,3,"2015-09-07"
50,60,3,"2015-09-07"
210,240,3,"2015-09-05"
32.5,40,3,"2015-09-07"
30,40,3,"2015-09-08"
40,50,3,"2015-09-08"
0,10,3,"2015-09-04"
60,90,3,"2015-09-05"
420,420,0,"2015-09-07"
30,40,3,"2015-09-06"
65,90,3,"2015-09-07"
60,90,3,"2015-09-05"
10,20,3,"2015-09-05"
20,30,3,"2015-09-07"
10,20,3,"2015-09-06"
55,60,3,"2015-09-07"
240,300,3,"2015-09-08"
5,10,3,"2015-09-06"
150,180,3,"2015-09-07"
90,120,3,"2015-09-06"
150,180,3,"2015-09-05"
25,30,3,"2015-09-06"
80,90,3,"2015-09-08"
20,30,3,"2015-09-05"
10,20,3,"2015-09-07"
45,50,3,"2015-09-08"
60,90,3,"2015-09-06"
40,50,3,"2015-09-05"
420,420,0,"2015-09-06"
180,210,3,"2015-09-07"
360,420,3,"2015-09-04"
0,10,3,"2015-09-05"
150,180,3,"2015-09-06"
300,360,3,"2015-09-07"
240,300,3,"2015-09-05"
45,50,3,"2015-09-07"
90,120,3,"2015-09-08"
180,210,3,"2015-09-06"
287.5,300,3,"2015-09-04"
390,420,3,"2015-09-05"
152.5,180,3,"2015-09-06"
20,30,3,"2015-09-07"
210,240,3,"2015-09-08"
17.5,20,3,"2015-09-05"
40,50,3,"2015-09-06"
150,180,3,"2015-09-07"
47.5,50,3,"2015-09-08"
50,60,3,"2015-09-07"
420,420,0,"2015-09-07"
55,60,3,"2015-09-04"
30,40,3,"2015-09-06"
0,10,3,"2015-09-08"
420,420,0,"2015-09-04"
65,90,3,"2015-09-06"
10,20,3,"2015-09-07"
150,180,3,"2015-09-06"
215,240,3,"2015-09-08"
60,90,3,"2015-09-08"
120,150,3,"2015-09-07"
420,420,0,"2015-09-05"
10,20,3,"2015-09-06"
112.5,120,3,"2015-09-07"
45,50,3,"2015-09-07"
420,420,0,"2015-09-07"
60,90,3,"2015-09-10"
0,10,3,"2015-09-11"
120,150,3,"2015-09-09"
40,50,3,"2015-09-08"
20,30,3,"2015-09-11"
30,40,3,"2015-09-10"
10,20,3,"2015-09-11"
0,10,3,"2015-09-11"
180,210,3,"2015-09-10"
360,420,3,"2015-09-10"
420,420,0,"2015-09-10"
225,240,3,"2015-09-10"
20,30,3,"2015-09-10"
60,90,3,"2015-09-10"
40,50,3,"2015-09-10"
90,120,3,"2015-09-10"
180,210,3,"2015-09-10"
60,90,3,"2015-09-10"
150,180,3,"2015-09-09"
235,240,3,"2015-09-10"
255,300,3,"2015-09-10"
10,20,3,"2015-09-10"
40,50,3,"2015-09-10"
20,30,3,"2015-09-09"
210,240,3,"2015-09-10"
10,20,3,"2015-09-09"
75,90,3,"2015-09-10"
10,20,3,"2015-09-10"
20,30,3,"2015-09-09"
20,30,3,"2015-09-09"
5,10,3,"2015-09-10"
